Name;NHM_Id;Produktudbyder;Produkt;Risikoniveau;År til pension;ÅOP;Date;Return;Serie;IsBenchmark;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;31-01-2006;0.011739439493706705;Danica Balance Middel risiko 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;28-02-2006;0.006002644462039131;Danica Balance Middel risiko 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;31-03-2006;-0.0023054771346190384;Danica Balance Middel risiko 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;30-04-2006;-0.0007442059436848503;Danica Balance Middel risiko 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;31-05-2006;-0.02638276978021159;Danica Balance Middel risiko 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;30-06-2006;-0.001507264681297693;Danica Balance Middel risiko 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;31-07-2006;0.010604062869591813;Danica Balance Middel risiko 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;31-08-2006;0.01982033831198393;Danica Balance Middel risiko 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;30-09-2006;0.016590351976682127;Danica Balance Middel risiko 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;31-10-2006;0.016176756675769344;Danica Balance Middel risiko 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;30-11-2006;0.010284258026152182;Danica Balance Middel risiko 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;31-12-2006;0.009015298510764103;Danica Balance Middel risiko 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;31-01-2007;0.007678709450642085;Danica Balance Middel risiko 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;28-02-2007;-0.00036813315450723305;Danica Balance Middel risiko 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;31-03-2007;0.006468074742159491;Danica Balance Middel risiko 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;30-04-2007;0.017034746968789927;Danica Balance Middel risiko 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;31-05-2007;0.010944120973887195;Danica Balance Middel risiko 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;30-06-2007;-0.01612576642036767;Danica Balance Middel risiko 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;31-07-2007;0.0008629417003056528;Danica Balance Middel risiko 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;31-08-2007;-0.006267096109720871;Danica Balance Middel risiko 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;30-09-2007;0.015418990587920511;Danica Balance Middel risiko 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;31-10-2007;0.015310033000270673;Danica Balance Middel risiko 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;30-11-2007;-0.021761669813878948;Danica Balance Middel risiko 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;31-12-2007;-0.008798102083320325;Danica Balance Middel risiko 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;31-01-2008;-0.03947218849505252;Danica Balance Middel risiko 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;29-02-2008;0.00979172270328621;Danica Balance Middel risiko 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;31-03-2008;-0.020488116303504333;Danica Balance Middel risiko 15 Year;False;
Danica Balance Middel risiko 15 Year;y;Danica Balance;LivsCyklus;Moderat;15;1.06;30-04-2008;0.027183761559758768;Danica Balance Middel risiko 15 Year;False;
